State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
OK,"23,227","24,228","20,222","18,209","29,814","26,301","6,185","30,303","37,556","34,673","27,403","14,641","10,901","20,781","13,583","24,812","23,748","18,749","18,513","34,735","25,025","24,464"
OR,"388,818","295,984","350,085","336,660","331,337","309,453","375,437","331,978","333,115","322,407","297,970","411,131","375,027","315,785","335,306","291,098","318,822","352,611","322,458","269,836","279,848","244,621"
PA,"23,363","17,049","22,488","33,881","31,604","22,320","28,211","22,100","25,116","26,185","22,753","31,258","21,334","24,088","25,115","24,251","21,912","28,759","38,773","31,174","23,429","27,725"
RI,50,32,37,61,55,67,59,43,49,46,36,72,41,42,38,29,20,22,37,32,31,39
SC,"15,643","12,663","14,138","37,112","24,508","29,379","17,923","15,379","11,067","22,760","23,185","15,100","13,515","30,152","24,430","23,884","20,542","16,897","27,419","26,485","33,865","22,497"
SD,"58,304","35,461","44,290","43,298","36,033","30,743","33,693","28,834","29,494","43,261","51,110","64,205","56,915","38,761","52,283","45,177","44,345","48,393","57,011","70,437","51,117","44,066"
TN,"65,248","71,778","81,116","121,537","104,248","93,086","76,859","48,823","55,636","99,669","79,392","93,037","78,942","118,721","84,636","89,240","62,511","80,028","93,643","90,145","117,937","96,147"
TX,"8,456","12,403","11,429","9,077","13,027","13,324","6,566","16,254","10,243","10,040","12,310","5,471","5,562","4,580","3,670","8,908","12,384","9,779","10,248","13,130","9,463","9,573"
UT,"7,611","5,253","4,657","4,266","4,506","7,844","7,407","5,325","6,583","8,152","6,785","11,952","7,116","4,818","6,018","7,160","7,009","11,913","8,435","7,788","7,160","4,365"
VA,"7,263","10,480","8,832","18,038","15,856","14,842","13,402","12,338","9,962","14,431","14,636","11,760","9,933","11,961","9,083","10,790","13,579","10,279","16,057","13,520","17,799","11,548"
VT,"12,456","9,137","11,342","11,685","11,892","12,107","15,064","6,391","14,711","14,502","13,140","13,843","10,956","12,269","11,176","10,613","9,943","11,790","11,538","11,898","9,904","9,664"
WA,"818,762","565,565","795,189","726,537","716,902","720,674","813,434","779,148","765,033","711,823","666,221","892,101","851,343","745,678","755,615","683,693","722,975","756,740","735,877","587,497","669,883","631,279"
WI,"20,255","21,247","25,585","18,663","19,838","17,400","16,650","14,985","15,925","13,605","20,603","20,859","14,562","18,880","23,504","21,801","25,795","24,468","21,763","23,502","24,440","18,969"
WV,"11,740","9,836","10,842","13,730","13,204","14,474","15,597","12,398","12,298","16,064","13,340","14,118","13,622","16,590","11,810","12,900","15,118","15,271","16,810","15,182","13,957","15,075"
WY,"10,314","9,084","5,937","6,010","5,941","8,083","8,365","7,210","8,231","9,434","9,989","11,890","8,502","6,782","8,261","8,087","8,983","10,346","8,877","8,832","9,521","6,991"
US,"2,811,116","2,241,858","2,689,017","2,792,539","2,688,468","2,702,942","2,869,035","2,446,389","2,511,108","2,668,824","2,538,541","3,102,852","2,628,702","2,562,382","2,466,317","2,319,932","2,471,371","2,765,466","2,661,383","2,561,788","2,500,996","2,225,016"
