State,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,"87,231","89,679","86,088","88,866","98,774","99,649","103,096","119,922","128,586","145,519","168,779","167,781","162,070","160,530","175,139","178,087","178,398","172,076","178,423","178,245","157,085","163,620",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,"16,988","21,557","23,888","27,894","29,127","42,868","41,371","50,036","61,784","69,134","76,340","73,032","65,479","74,874","80,006","69,235","70,026","70,062","73,992","72,438","67,355","66,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,"75,116","55,795","49,338","44,948","60,823","62,397","63,042","63,940","49,751","56,058","73,892","74,485","87,564","75,915","77,061","73,235","75,936","69,987","70,020","66,173","63,866","64,065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,"15,341","12,032","11,122","12,073","12,656","18,738","18,232","21,835","20,759","15,359","15,984","8,386","8,017","8,992","9,317","18,596","19,528","19,636","23,379","22,887","20,344","21,128",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NC,"107,174","104,714","94,923","115,541","92,753","93,008","101,157","87,192","136,380","128,262","142,071","149,240","148,190","157,380","155,000","147,848","147,215","150,492","146,317","145,756","141,691","137,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ND,"4,273","5,490","5,285","5,791","6,101","6,757","6,529","12,724","13,804","19,798","23,219","25,792","24,760","26,922","27,184","28,664","31,692","36,582","35,689","35,354","34,757","34,845",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE,"28,044","31,405","32,589","34,722","42,026","41,346","43,059","57,824","78,385","77,950","115,584","117,400","107,554","109,254","117,619","117,974","124,279","125,012","125,851","126,124","108,866","120,634",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NH,"24,022","19,915","17,256","16,337","21,702","24,446","20,797","25,861","27,356","32,801","35,943","35,670","36,249","41,530","44,447","51,507","47,703","49,094","45,512","44,270","34,337","35,047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ,"40,203","29,134","27,605","25,064","25,663","27,211","45,175","50,080","47,294","62,139","68,576","65,958","62,806","68,475","70,479","59,875","62,371","57,421","55,033","52,416","44,783","47,472",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NM,"7,237","4,349","4,421","4,315","4,323","13,129","13,095","14,687","16,895","14,996","19,233","18,818","17,651","19,515","18,898","20,804","21,047","20,438","23,221","26,378","21,828","23,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NV,"6,761","5,926","6,199","6,856","7,035","6,555","6,173","7,190","9,605","10,066","10,413","10,111","9,303","10,305","11,481","12,513","14,187","14,630","15,717","15,870","13,689","14,762",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NY,"175,442","111,573","107,841","112,173","140,770","113,952","122,105","132,654","150,944","115,680","129,212","135,968","132,355","140,965","145,391","160,141","157,681","159,888","164,409","162,300","139,541","146,045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OH,"92,101","62,169","49,134","57,137","58,021","66,769","68,978","77,898","109,780","106,259","121,236","128,531","125,625","139,153","142,875","136,918","137,760","133,183","134,397","131,871","120,825","125,190",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OK,"24,097","24,140","20,700","23,198","26,567","30,442","31,642","33,981","27,112","31,525","43,757","45,595","46,968","50,705","50,755","47,467","51,206","54,515","56,225","53,420","53,253","53,708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OR,"46,934","53,076","48,105","43,984","47,857","49,698","51,514","55,759","58,162","64,331","67,654","66,252","68,997","80,146","82,579","93,349","92,009","99,322","100,985","105,017","100,335","101,824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"90,285","79,111","73,134","74,449","82,076","83,025","86,233","93,328","112,834","126,668","146,711","162,101","157,080","173,435","167,629","174,037","170,698","171,831","173,457","166,439","152,305","154,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI,"4,432","3,832","3,667","3,735","4,452","1,822","5,307","6,286","6,180","7,292","7,029","6,573","5,747","5,818","7,473","7,992","7,496","7,439","7,336","7,779","7,584","6,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"76,662","57,743","66,321","66,454","72,682","75,803","82,290","82,110","95,330","98,518","110,565","120,127","124,748","125,730","133,352","126,557","128,715","133,265","130,188","128,634","121,095","123,549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"4,693","5,135","7,412","12,836","21,930","28,364","35,473","38,320","49,636","57,173","62,740","62,252","59,574","62,689","63,760","67,721","68,514","70,746","73,493","72,109","69,450","76,880",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
